49	Location ID	University of New Hampshire	Camera	 	 	 	Lat, Lng: 43.132977, -70.92154 	Durham, NH US
50	Location ID	University of Vermont	Camera	 	 	 	Lat, Lng: 44.47755, -73.200288 	85 S Prospect St 	Burlington, VT 5401 US
51	Location ID	Florida Gulf Coast University	Camera	 	 	 	Lat, Lng: 26.464646, -81.7737 	10501 Fgcu Blvd S 	Fort Myers, FL 33965 US
52	Location ID	Jacksonville University	Camera	 	 	 	Lat, Lng: 30.359059, -81.606543 	2800 University Blvd N 	Jacksonville, FL 32211 US
53	Location ID	Kennesaw State University	Camera	 	 	 	Lat, Lng: 34.03552, -84.582067 	1000 Chastain Rd 	Kennesaw, GA 30144 US
54	Location ID	Lipscomb University	Camera	 	 	 	Lat, Lng: 36.105597, -86.798058 	1 University Park Dr 	Nashville, TN 37215 US
55	Location ID	New Jersey Institute of Technology	Camera	 	Comments_old	 	Lat, Lng: 40.735657, -74.172367 	Newark, NJ US
56	Location ID	Stetson University	Camera	 	 	 	Lat, Lng: 29.036794, -81.304701 	421 N Woodland Blvd 	DeLand, FL 32720 US
57	Location ID	University of North Alabama	 	Directions	 	 	Lat, Lng: 34.807456, -87.681168		
58	Location ID	University of North Florida	Camera	 	 	 	Lat, Lng: 30.272119, -81.509056 	1 University of North Fl Dr 	Jacksonville, FL 32224 US
59	Location ID	University of South Carolina Upstate	Camera	 	 	 	Lat, Lng: 34.996858, -81.969568 	800 University Way 	Spartanburg, SC 29303 US
60	Location ID	Butler University	Camera	Directions	 	 	Lat, Lng: 39.844443, -86.165545 	4600 Sunset Avenue 	Indianapolis, IN US
61	Location ID	Creighton University	Camera	 	 	 	Lat, Lng: 41.254006, -95.999258 	Omaha, NE US
62	Location ID	DePaul University	Camera	 	 	 	Lat, Lng: 41.877512, -87.627227 	1 E Jackson Blvd 	Chicago, IL 60604 US
63	Location ID	Georgetown University	Camera	 	 	 	Lat, Lng: 38.908654, -77.071576 	37th St NW 	Washington, DC 20007 US
64	Location ID	Marquette University	Camera	 	 	 	Lat, Lng: 43.038739, -87.92828 	1250 W Wisconsin Ave 	Milwaukee, WI 53233 US
65	Location ID	Providence College	Camera	 	 	 	Lat, Lng: 41.844154, -71.437978 	1 Cunningham Square 	Providence, RI 2908 US
66	Location ID	Seton Hall University	Camera	 	 	 	Lat, Lng: 40.742608, -74.246206 	400 S Orange Ave 	South Orange, NJ 7079 US
67	Location ID	St. John's University	Camera	 	 	 	Lat, Lng: 40.723112, -73.794994 	Queens, NY US
68	Location ID	Villanova University	Camera	 	 	 	Lat, Lng: 40.037029, -75.343316 	Radnor Township, PA US
69	Location ID	Xavier University	Camera	Directions	 	 	Lat, Lng: 39.149648, -84.473702 	Cincinnati, OH US
70	Location ID	Baylor University	Camera	 	 	 	Lat, Lng: 31.549333, -97.14667 	Waco, TX US
71	Location ID	Iowa State University	Camera	 	 	 	Lat, Lng: 42.02335, -93.625622 	Ames, IA US
72	Location ID	Kansas State University	Camera	 	 	 	Lat, Lng: 39.183608, -96.571669 	Manhattan, KS US
73	Location ID	Oklahoma State University at Stillwater	Camera	 	 	 	Lat, Lng: 36.115607, -97.058368 	Stillwater, OK US
74	Location ID	Texas Christian University	Camera	 	Comments_old	 	Lat, Lng: 32.710783, -97.361183 	2800 S University Dr 	Fort Worth, TX 76129 US
75	Location ID	Texas Tech University	Camera	 	 	 	Lat, Lng: 33.577863, -101.855167 	Lubbock, TX US
76	Location ID	University of Kansas	Camera	 	 	 	Lat, Lng: 38.971669, -95.23525 	Lawrence, KS US
77	Location ID	University of Oklahoma	Camera	 	 	 	Lat, Lng: 35.222567, -97.439478 	Norman, OK US
78	Location ID	University of Texas at Austin	Camera	 	 	 	Lat, Lng: 30.267153, -97.743061 	Austin, TX US
79	Location ID	West Virginia University	Camera	 	Comments_old	 	Lat, Lng: 39.629526, -79.955897 	Morgantown, WV US
80	Location ID	California State University, Sacramento	Camera	 	 	 	Lat, Lng: 38.581572, -121.4944 	Sacramento, CA US
81	Location ID	Eastern Washington University	Camera	 	Comments_old	 	Lat, Lng: 47.48739, -117.575762 	Cheney, WA US
82	Location ID	Idaho State University	Camera	 	 	 	Lat, Lng: 42.871303, -112.445534 	Pocatello, ID US
83	Location ID	Montana State University - Bozeman	Camera	 	 	 	Lat, Lng: 45.68346, -111.050499 	Bozeman, MT US
84	Location ID	Northern Arizona University	Camera	 	 	 	Lat, Lng: 35.198067, -111.651273 	Flagstaff, AZ US
85	Location ID	Portland State University	Camera	 	 	 	Lat, Lng: 45.513509, -122.684179 	Portland, OR US
86	Location ID	Southern Utah University	Camera	 	 	 	Lat, Lng: 37.677477, -113.061893 	Cedar City, UT US
87	Location ID	The University of Montana	Camera	 	 	 	Lat, Lng: 46.872146, -113.993998 	Missoula, MT US
88	Location ID	University of Idaho	Camera	 	 	 	Lat, Lng: 46.732388, -117.000165 	Moscow, ID US
89	Location ID	University of Northern Colorado	Camera	 	 	 	Lat, Lng: 40.423314, -104.709132 	Greeley, CO US
90	Location ID	Weber State University	Camera	 	 	 	Lat, Lng: 41.223, -111.97383 	Ogden, UT US
91	Location ID	Campbell University	Camera	 	 	 	Lat, Lng: 35.413217, -78.735573 	Buies Creek, NC US
92	Location ID	Charleston Southern University	Camera	 	Comments_old	 	Lat, Lng: 32.97714, -80.069693 	9200 University Blvd 	North Charleston, SC 29406 US
93	Location ID	Gardner-Webb University	Camera	 	Comments_old	 	Lat, Lng: 35.205917, -84.009633 	Boiling Springs, NC US
94	Location ID	High Point University	Camera	 	 	 	Lat, Lng: 35.955692, -80.005318 	High Point, NC US
95	Location ID	Liberty University	Camera	 	 	 	Lat, Lng: 37.413754, -79.142246 	Lynchburg, VA US
96	Location ID	Longwood University	Camera	 	 	 	Lat, Lng: 37.302097, -78.39194 	Farmville, VA US
97	Location ID	Presbyterian College	Camera	 	 	 	Lat, Lng: 34.472628, -81.880656 	Clinton, SC US
98	Location ID	Radford University	Camera	 	 	 	Lat, Lng: 37.131792, -80.576448 	Radford, VA US
99	Location ID	University of North Carolina at Asheville	Camera	 	 	 	Lat, Lng: 35.600945, -82.554015 	Asheville, NC US
100	Location ID	Winthrop University	Camera	 	 	 	Lat, Lng: 34.924867, -81.025078 	Rock Hill, SC US
101	Location ID	Indiana University Bloomington	Camera	 	 	 	Lat, Lng: 39.165325, -86.526386 	Bloomington, IN US
102	Location ID	Michigan State University	Camera	 	Comments_month	 	Lat, Lng: 42.736979, -84.483865 	East Lansing, MI US
103	Location ID	Northwestern University	Camera	 	 	 	Lat, Lng: 42.041141, -87.690059 	Evanston, IL US
104	Location ID	Pennsylvania State University	Camera	 	 	 	Lat, Lng: 40.793395, -77.860001 	State College, PA US
105	Location ID	Purdue University	Camera	 	 	 	Lat, Lng: 40.425869, -86.908066 	West Lafayette, IN US
