Name	Population	Land Area	Water Area	Total Area	Lat	Long
Ontario_CA	0	2	2	0	50	-85
Aisén_del_General_Carlos_Ibáñez_del_Campo_CL	108,328	2	2	108,494.4	-43.57	-72.066111
Antofagasta_CL	622,640	2	2	126,049.1	-23.644167	-70.410833
Arica_y_Parinacota_CL	239,126	2	2	16,873.3	-18.475	-70.314444
Atacama_CL	312,486	2	2	75,176.2	-27.366667	-70.332222
Bío-Bío_CL	2,114,286	2	2	37,068.7	-36.833333	-73.05
Coquimbo_CL	771,085	2	2	40,579.9	-29.907778	-70.254167
La_Araucanía_CL	989,798	2	2	31,842.3	-38.9	-72.666667
Libertador_General_Bernardo_O_Higgins_CL	918,751	2	2	16,387	-34.167222	-70.726944
Los_Lagos_CL	841,123	2	2	48,583.6	-41.471667	-72.936667
Los_Ríos_CL	404,432	2	2	18,429.5	-39.808333	-73.241667
Magallanes_y_Antártica_Chilena_CL	164,661	2	2	132,291.1	-53.166667	-70.933333
Maule_CL	1,042,989	2	2	30,296.1	-35.433333	-71.666667
Región_Metropolitana_de_Santiago_CL	7,314,176	2	2	15,403.2	-33.437778	-70.650278
Tarapacá_CL	336,769	2	2	42,225.8	-20.283333	-69.333333
Valparaíso_CL	1,825,757	2	2	16,396.1	-33.063056	-71.639444
Amazonas_CO	80,360	2	2	109,665	4.2	-69.916667
Antioquia_CO	5,750,478	2	2	63,612	6.216667	-75.566667
Arauca_CO	282,302	2	2	23,818	7.083333	-70.75
Atlántico_CO	2,365,663	2	2	3,388	10.983333	-74.783333
Bogota_CO	8,254,722	2	2	1,587	4.711111	-74.072222
Bolívar_CO	2,229,967	2	2	25,978	10.4	-75.5
Boyacá_CO	1,411,239	2	2	23,189	5.533333	-73.366667
Caldas_CO	1,170,187	2	2	7,888	5.1	-75.55
Caquetá_CO	463,333	2	2	88,965	1.616667	-75.6
Casanare_CO	325,713	2	2	44,640	5.35	-72.41
Cauca_CO	1,363,054	2	2	29,308	2.45	-76.616667
Cesar_CO	1,050,303	2	2	22,905	10.483333	-73.25
Chocó_CO	413,173	2	2	46,530	5.7	-76.666667
Córdoba_CO	1,392,905	2	2	25,020	8.75	-75.883333
Cundinamarca_CO	2,680,041	2	2	24,210	4.6	-74.083333
Guainía_CO	43,314	2	2	72,238	3.865278	-67.923889
Guaviare_CO	133,236	2	2	53,460	2.566667	-72.633333
Huila_CO	994,218	2	2	19,890	2.998611	-75.304444
La_Guajira_CO	524,619	2	2	20,848	11.55	-72.9
Magdalena_CO	1,403,318	2	2	23,188	11.241944	-74.205278
Meta_CO	771,089	2	2	85,635	4.15	-73.633333
Nariño_CO	1,775,139	2	2	33,268	1.166667	-77.266667
Norte_de_Santander_CO	1,493,932	2	2	21,658	7.9	-72.5
Putumayo_CO	378,483	2	2	24,885	1.15	-76.616667
Quindío_CO	613,375	2	2	1,845	4.533333	-75.7
