Name	Pop	DUMMY	DUMMY	Area	Lat	Long
Snowy Monaro Regional Council_NW	20218	2	2	5319	-36.232	149.13
Upper Lachlan Shire_NW	7695	2	2	7102	-34.45	149.466667
Yass Valley Council_NW	16142	2	2	3999	-34.85	148.916667
Armidale Regional Council_NW	29449	2	2	8621	-30.5	151.666667
Glen Innes Severn Council_NW	8836	2	2	5487	-29.716667	151.75
Gunnedah Shire_NW	12215	2	2	4994	-30.966667	150.25
Gwydir Shire_NW	5258	2	2	9453	-29.866667	150.566667
Inverell Shire_NW	16483	2	2	8606	-29.766667	151.116667
Liverpool Plains Shire_NW	7687	2	2	5086	-31.483333	150.683333
Moree Plains Shire_NW	13159	2	2	17930	-29.466667	149.833333
Narrabri Shire_NW	13084	2	2	13031	-30.316667	149.766667
Tamworth Regional Council_NW	59663	2	2	9892	-31.083333	150.916667
Tenterfield Shire_NW	6628	2	2	7332	-29.0525	152.018611
Uralla Shire_NW	6048	2	2	3230	-30.65	151.5
Walcha Shire_NW	3092	2	2	2621	-30.983333	151.6
Bathurst Regional_NW	41300	2	2	3820	-33.416667	149.566667
Bland Shire_NW	5995	2	2	8560	-33.933333	147.25
Blayney Shire_NW	7257	2	2	1525	-33.533333	149.25
Cabonne Shire_NW	13386	2	2	6026	-33.1	148.85
Cowra Shire_NW	12460	2	2	2810	-33.816667	148.733333
Forbes Shire_NW	9587	2	2	4720	-33.366667	148
Lachlan Shire_NW	6194	2	2	7431	-33.05	147.15
Lithgow City of_NW	21090	2	2	4551	-33.483333	150.15
Mid_Western Regional_NW	24076	2	2	8737	-32.583333	149.683333
Oberon Shire_NW	5301	2	2	3659	-33.716667	149.866667
Orange City of_NW	40344	2	2	285	-33.283333	149.1
Parkes Shire_NW	14608	2	2	5958	-33.133333	148.166667
Weddin Shire_NW	3664	2	2	3410	-33.9	148.15
Bogan Shire_NW	2692	2	2	14611	-31.566667	147.2
Bourke Shire_NW	2834	2	2	41679	-30.1	145.933333
Brewarrina Shire_NW	1651	2	2	19188	-29.96	146.86
Cobar Shire_NW	4647	2	2	44065	-31.483333	145.8
Coonamble Shire_NW	3918	2	2	9926	-30.95	148.4
Dubbo Regional Council_NW	50077	2	2	7536	-32.25	148.6
Gilgandra Shire_NW	4236	2	2	4836	-31.7	148.683333
Narromine Shire_NW	6444	2	2	5264	-32.233333	148.233333
Walgett Shire_NW	6107	2	2	22336	-30.016667	148.116667
Warren Shire_NW	2732	2	2	10760	-31.7	147.833333
Warrumbungle Shire_NW	9384	2	2	12380	-31.25	149.266667
Broken Hill City of_NW	17708	2	2	170	-31.95	141.45
Central Darling Shire_NW	1833	2	2	53511	-31.566667	143.366667
Unincorporated Far West_NW	1056	2	2	93300	-29.716667	142
Armadale City of_WA	80287	2	2	560	-32.153056	116.015
Bassendean Town of_WA	16101	2	2	10	-31.905	115.949
Bayswater City of_WA	70472	2	2	33	-31.887	115.907
Belmont City of_WA	41344	2	2	40	-31.945	115.927
Cambridge Town of_WA	28250	2	2	22	-31.938	115.794
Canning City of_WA	98355	2	2	65	-32.017	115.934
Claremont Town of_WA	10706	2	2	5	-31.98	115.782
Cockburn City of_WA	107645	2	2	168	-32.166667	115.833333
Cottesloe Town of_WA	8602	2	2	4	-31.993	115.757
East Fremantle Town of_WA	7743	2	2	3	-32.038	115.768
Fremantle City of_WA	31046	2	2	19	-32.0569	115.7439
Gosnells City of_WA	125051	2	2	127	-32.072	115.995
Joondalup City of_WA	167891	2	2	99	-31.745	115.766
Kalamunda City of_WA	60830	2	2	324	-31.974	116.058
Kwinana City of_WA	37149	2	2	120	-32.25	115.766667
Melville City of_WA	106655	2	2	53	-32.039	115.831
Mosman Park Town of_WA	9547	2	2	4	-32.016	115.762
Mundaring Shire of_WA	40015	2	2	644	-31.897	116.171
Nedlands City of_WA	23084	2	2	20	-31.982	115.807
Peppermint Grove Shire of_WA	1646	2	2	1	-31.999	115.768
Perth City of_WA	21092	2	2	20	-31.95	115.85
Rockingham City of_WA	128962	2	2	257	-32.281111	115.726944
Serpentine_Jarrahdale Shire of_WA	21162	2	2	905	-32.284	115.973
South Perth City of_WA	46244	2	2	20	-31.982	115.863
Stirling City of_WA	227566	2	2	105	-31.883	115.81
Subiaco City of_WA	20423	2	2	7	-31.949	115.827
Swan City of_WA	133303	2	2	1044	-31.895	115.993
Victoria Park Town of_WA	38450	2	2	18	-31.969	115.896
Vincent City of_WA	37461	2	2	11	-31.936	115.834
Wanneroo City of_WA	188785	2	2	686	-31.747	115.803
Albany City of_WA	36262	2	2	4310.5	-35.0228	117.8814
Ashburton Shire of_WA	10959	2	2	202325	-22.694	117.795
Augusta–Margaret River Shire of_WA	13168	2	2	2123	-33.955	115.075
Beverley Shire of_WA	1566	2	2	2372	-32.109	116.926
Boddington Shire of_WA	2471	2	2	1900	-32.802	116.471
Boyup Brook Shire of_WA	1738	2	2	2827	-33.834	116.388
Bridgetown_Greenbushes Shire of_WA	4513	2	2	1340	-33.958	116.141
Brookton Shire of_WA	992	2	2	1602	-32.368	117.006
Broome Shire of_WA	17251	2	2	54632	-17.962	122.236
Broomehill_Tambellup Shire of_WA	1167	2	2	2610	-34.041	117.642
Bruce Rock Shire of_WA	996	2	2	2727	-31.881	118.148
Bunbury City of_WA	33623	2	2	65	-33.34	115.642
Busselton City of_WA	34290	2	2	1455	-33.648	115.346
Capel Shire of_WA	16447	2	2	558	-33.557	115.566
Carnamah Shire of_WA	550	2	2	2876	-29.687	115.892
Carnarvon Shire of_WA	6139	2	2	46665	-24.884	113.661
Chapman Valley Shire of_WA	1214	2	2	3988	-28.5	114.789
Chittering Shire of_WA	4996	2	2	1221	-31.38	116.097
Christmas Island Shire of_WA	1462	2	2	137	-10.483333	105.616667
Cocos Shire of_WA	605	2	2	14	-12.116667	96.9
Collie Shire of_WA	9692	2	2	1711	-33.363	116.156
Coolgardie Shire of_WA	4324	2	2	30381	-30.953	121.164
Coorow Shire of_WA	1085	2	2	4194	-29.879	116.023
Corrigin Shire of_WA	1099	2	2	2682	-32.327	117.875
Cranbrook Shire of_WA	1101	2	2	3278	-34.297	117.554
Cuballing Shire of_WA	878	2	2	1196	-32.82	117.181
Cue Shire of_WA	298	2	2	13607	-27.421	117.896
Cunderdin Shire of_WA	1302	2	2	1864	-31.656	117.244
Dalwallinu Shire of_WA	1295	2	2	7235	-30.271	116.661
Dandaragan Shire of_WA	3325	2	2	6718	-30.297	115.042
Dardanup Shire of_WA	13791	2	2	526	-33.314	115.712
Denmark Shire of_WA	5748	2	2	1860	-34.96	117.353
Derby_West Kimberley Shire of_WA	10047	2	2	119841	-17.39	123.68
Donnybrook_Balingup Shire of_WA	5753	2	2	1561	-33.577	115.821
Dowerin Shire of_WA	672	2	2	1865	-31.192	117.034
Dumbleyung Shire of_WA	608	2	2	2542	-33.315	117.738
Dundas Shire of_WA	1182	2	2	92656	-32.196	121.778
East Pilbara Shire of_WA	12960	2	2	372301	-23.354	119.732
Esperance Shire of_WA	14242	2	2	45059	-33.861	121.892
Exmouth Shire of_WA	2570	2	2	6504	-21.933	114.128
Gingin Shire of_WA	5248	2	2	3211	-31.341	115.908
Gnowangerup Shire of_WA	1303	2	2	4267	-33.938	118.008
Goomalling Shire of_WA	976	2	2	1837	-31.3	116.831
Greater Geraldton City of_WA	40448	2	2	9903	-28.779	114.607
Halls Creek Shire of_WA	3940	2	2	133061	-18.227	127.668
Harvey Shire of_WA	25924	2	2	1729	-33.078	115.894
Irwin Shire of_WA	3780	2	2	2375	-29.251	114.931
Jerramungup Shire of_WA	1085	2	2	6509	-33.942	118.916
Kalgoorlie_Boulder City of_WA	33763	2	2	95242	-30.749	121.466
Karratha City of_WA	25907	2	2	15278	-20.736	116.846
Katanning Shire of_WA	4407	2	2	1519	-33.687	117.575
Kellerberrin Shire of_WA	1227	2	2	1917	-31.632	117.708
Kent Shire of_WA	528	2	2	5631	-33.542	118.15
