Name	b	b	b	b	Lat	Long
Montseratt	0	2	2	0	16.750000	-62.200000
Morocco	0	2	2	0	32.000000	-6.000000
Mozambique	0	2	2	0	-18.250000	35.000000
Myanmar	0	2	2	0	22.000000	96.000000
Namibia	0	2	2	0	-22.000000	17.000000
Nauru	0	2	2	0	-0.533333	166.933333
Nepal	0	2	2	0	28.166667	84.250000
Netherlands	0	2	2	0	52.366667	4.883333
New_Caledonia	0	2	2	0	-21.250000	165.300000
New_Zealand	0	2	2	0	-42.000000	174.000000
Nicaragua	0	2	2	0	13.133333	-85.116667
Niger	0	2	2	0	16.000000	8.000000
Nigeria	0	2	2	0	8.000000	10.000000
Niue	0	2	2	0	-19.050000	-169.916667
North_Korea	0	2	2	0	40.000000	127.000000
Northern_Mariana_Islands	0	2	2	0	17.000000	146.000000
Norway	0	2	2	0	61.000000	8.000000
Oman	0	2	2	0	21.000000	57.000000
Pakistan	0	2	2	0	30.000000	70.000000
Palau	0	2	2	0	7.500000	134.500000
Palestinian_Territories	0	2	2	0	32.000000	35.250000
Panama	0	2	2	0	9.000000	-80.000000
Papua_New_Guinea	0	2	2	0	-6.000000	147.000000
Paraguay	0	2	2	0	-23.000000	-58.000000
Peru	0	2	2	0	-10.000000	-76.000000
Philippines	0	2	2	0	13.000000	122.000000
Pitcairn_Islands	0	2	2	0	-25.066667	-130.100000
Poland	0	2	2	0	52.000000	20.000000
Portugal	0	2	2	0	38.700000	-9.183333
Puerto_Rico	0	2	2	0	18.200000	-66.500000
Qatar	0	2	2	0	25.500000	51.250000
Reunion	0	2	2	0	-21.114444	55.532500
Romania	0	2	2	0	46.000000	25.000000
Russia	0	2	2	0	60.000000	90.000000
Rwanda	0	2	2	0	-1.940278	29.873889
Samoa	0	2	2	0	-13.583333	-172.333333
San_Marino	0	2	2	0	43.941667	12.458333
Sao_Tome_and_Principe	0	2	2	0	1.000000	7.000000
Saudi_Arabia	0	2	2	0	24.000000	45.000000
Senegal	0	2	2	0	14.000000	-14.000000
Serbia	0	2	2	0	44.000000	21.000000
Seychelles	0	2	2	0	-4.583333	55.666667
Sierra_Leone	0	2	2	0	8.500000	-11.500000
Singapore	0	2	2	0	1.300000	103.800000
Slovakia	0	2	2	0	48.666667	19.500000
Slovenia	0	2	2	0	46.116667	14.816667
Solomon_Islands	0	2	2	0	-8.000000	159.000000
Somalia	0	2	2	0	10.000000	49.000000
South_Africa	0	2	2	0	-30.000000	25.000000
South_Georgia_and_the_South_Sandwich_Islands	0	2	2	0	-54.250000	-36.750000
South_Korea	0	2	2	0	36.000000	128.000000
South_Sudan	0	2	2	0	8.000000	30.000000
Spain	0	2	2	0	40.000000	-4.000000
Sri_Lanka	0	2	2	0	7.000000	81.000000
St_Helena	0	2	2	0	-15.933333	-5.716667
St_Kitts_and_Nevis	0	2	2	0	17.333333	-62.750000
St_Lucia	0	2	2	0	13.883333	-60.966667
St_Vincent_and_the_Grenadines	0	2	2	0	13.250000	-61.200000
Sudan	0	2	2	0	15.000000	32.000000
Suriname	0	2	2	0	4.000000	-56.000000
Swaziland	0	2	2	0	-26.500000	31.500000
Sweden	0	2	2	0	63.000000	16.000000
Switzerland	0	2	2	0	46.833333	8.333333
Syria	0	2	2	0	35.000000	38.000000
Taiwan	0	2	2	0	25.033333	121.633333
Tajikistan	0	2	2	0	39.000000	71.000000
Tanzania	0	2	2	0	-6.307000	34.854000
Thailand	0	2	2	0	15.400000	101.300000
Togo	0	2	2	0	6.116667	1.216667
Tokelau	0	2	2	0	-9.166667	-171.833333
Tonga	0	2	2	0	-20.000000	-175.000000
Trinidad_and_Tobago	0	2	2	0	11.249285	-60.652557
Tunisia	0	2	2	0	34.000000	9.000000
Turkey	0	2	2	0	39.000000	35.000000
Turkmenistan	0	2	2	0	40.000000	60.000000
Turks_and_Caicos_Islands	0	2	2	0	21.750000	-71.583333
Tuvalu	0	2	2	0	-8.000000	178.000000
Uganda	0	2	2	0	1.000000	32.000000
Ukraine	0	2	2	0	49.000000	32.000000
United_Arab_Emirates	0	2	2	0	24.000000	54.000000
United_Kingdom	0	2	2	0	55.000000	-3.000000
United_States	0	2	2	0	40.000000	-100.000000
Uruguay	0	2	2	0	-33.000000	-56.000000
Uzbekistan	0	2	2	0	41.000000	69.000000
Vanuatu	0	2	2	0	-17.000000	168.000000
Vatican	0	2	2	0	41.900000	12.450000
Venezuela	0	2	2	0	7.000000	-65.000000
Vietnam	0	2	2	0	16.166667	107.833333
Virgin_Islands	0	2	2	0	18.350000	-64.933333
Wallis_and_Futuna	0	2	2	0	-13.300000	-176.200000
Western_Sahara	0	2	2	0	25.000000	-13.000000
Yemen	0	2	2	0	15.000000	48.000000
Zambia	0	2	2	0	-15.000000	30.000000
Zimbabwe	0	2	2	0	-20.000000	30.000000
